County,District,Exemp_12.13,Exemp_13.14,Exemp_14.15,Exemp_15.16,Exemp_16.17,Exemp_17.18,Type,Pop_16
anderson,cayuga isd,0.52,NA,1.42,1.41,1.74,2.1,h,580
anderson,elkhart isd,0.27,0.25,0.17,0.49,0.32,0.43,g,1269
anderson,frankston isd,NA,0.14,0.25,0.5,0.94,1.32,h,846
anderson,neches isd,0.24,0.52,0.27,0,0,0.29,h,378
anderson,palestine isd,0.4,0.21,0.15,0.09,0.12,0.62,e,3455
anderson,slocum isd,0.24,0.53,0.27,0.78,0.26,0.76,h,411
anderson,westwood isd,0.32,0.26,0.33,0.32,0.98,0.54,g,1600
andrews,andrews isd,0.63,0.66,0.82,0.75,0.9,1.07,d,3966
angelina,central isd,0.39,0.57,0.76,0.92,0.95,1.03,g,1527
angelina,diboll isd,0.35,0.2,0.06,0.06,0.06,0.06,g,1917
angelina,harmony christian school,5.33,NA,NA,NA,NA,NA,o,NA
angelina,hudson isd,0.89,0.97,0.75,0.9,0.85,1.01,g,2846
angelina,huntington isd,0.23,0.62,0.57,0.53,0.64,0.7,g,1724
angelina,lufkin isd,0.33,0.34,0.42,0.51,0.49,0.45,e,8216
angelina,pineywoods community academy,1.1,1.35,0.74,2.28,1.16,0.91,i,1038
angelina,st patrick catholic el,NA,NA,NA,2.21,NA,2.5,o,NA
angelina,st. cyprian's episcopal school,0.81,2.5,0,3.45,2.11,4.67,o,181
angelina,zavalla isd,0,0,0,0.51,0.78,1.63,h,386
aransas,aransas county isd,0.51,1.02,1.25,1.27,1.45,1.49,g,3394
aransas,sacred heart sch,0.96,0,0,0,0,NA,o,158
archer,archer city isd,1.28,0.63,0.89,0.92,0.43,0.89,h,483
archer,holliday isd,0.57,0.34,NA,0.64,0.57,0.81,d,959
archer,windthorst isd,0,0,0.23,0.23,0.24,0.73,h,436
armstrong,claude isd,1.44,1.98,2.06,0.59,1.9,1.44,h,335
atascosa,charlotte isd,0,0,0,0,0,0.43,h,501
atascosa,jourdanton isd,0.9,0.6,0.82,0.37,0.26,0.52,g,1576
atascosa,lytle isd,0.3,0.6,0.61,0.31,0.2,0.38,g,1600
atascosa,pleasanton isd,0.03,0.12,0.11,0.09,0.17,0.12,e,3482
atascosa,poteet isd,0.06,0,0,0,0.24,0.06,g,1769
austin,bellville isd,0.59,0.24,0.28,1.2,1.28,1.45,e,2239
austin,brazos isd,0.97,0.76,0.95,0.91,0.69,0.68,d,801
