County,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018
Anderson,0.20%,0.24%,0.33%,0.29%,0.29%,0.35%,0.50%,0.75%
Andrews,0.36%,0.52%,0.63%,0.66%,0.82%,0.75%,0.90%,1.07%
Angelina,0.33%,0.44%,0.46%,0.55%,0.49%,0.70%,0.63%,0.67%
Aransas,0.25%,0.46%,0.52%,0.98%,1.20%,1.22%,1.39%,1.49%
Archer,0.60%,0.49%,0.61%,0.33%,0.56%,0.61%,0.45%,0.81%
Armstrong,0.59%,1.43%,1.44%,1.98%,2.06%,0.59%,1.90%,1.44%
Atascosa,0.18%,0.23%,0.23%,0.26%,0.30%,0.16%,0.20%,0.24%
Austin,0.46%,0.28%,0.56%,0.27%,0.53%,0.74%,0.85%,1.05%
Bailey,0.59%,0.57%,0.58%,0.75%,0.68%,0.67%,0.74%,0.89%
Bandera,0.38%,0.35%,0.67%,1.00%,1.03%,1.44%,2.24%,2.26%
Bastrop,0.63%,0.88%,0.91%,0.96%,1.29%,1.08%,1.37%,1.39%
Baylor,0.92%,1.28%,1.43%,1.52%,3.36%,1.23%,0.70%,0.36%
Bee,0.19%,0.27%,0.23%,0.46%,0.52%,0.24%,0.23%,0.26%
Bell,0.21%,0.37%,0.37%,0.49%,0.58%,0.71%,0.79%,0.91%
Bexar,0.26%,0.32%,0.36%,0.45%,0.52%,0.67%,0.69%,0.80%
Blanco,1.83%,2.08%,2.89%,3.61%,4.57%,3.06%,3.46%,3.52%
Borden,0.00%,0.95%,0.84%,1.17%,1.63%,2.04%,3.15%,4.24%
Bosque,0.50%,0.57%,0.50%,0.49%,0.58%,0.68%,0.93%,0.78%
Bowie,0.75%,0.66%,0.97%,1.12%,1.17%,1.17%,1.30%,1.28%
Brazoria,0.30%,0.43%,0.46%,0.60%,0.70%,0.80%,0.79%,0.93%
Brazos,0.43%,0.38%,0.48%,0.49%,0.63%,0.76%,0.76%,0.76%
Brewster,0.83%,0.49%,1.68%,1.46%,0.54%,1.36%,1.56%,1.72%
Briscoe,3.23%,4.12%,2.56%,2.86%,2.16%,3.55%,3.26%,2.02%
Brooks,0.06%,0.13%,0.00%,0.00%,0.00%,0.00%,0.06%,0.19%
Brown,1.21%,1.07%,1.43%,0.60%,0.70%,0.62%,0.99%,1.15%
Burleson,0.18%,0.22%,0.19%,0.11%,0.19%,0.19%,0.19%,0.40%
Burnet,4.11%,1.25%,1.55%,1.75%,2.37%,2.21%,2.44%,2.64%
Caldwell,0.35%,0.35%,0.49%,0.66%,0.76%,1.07%,1.26%,1.35%
Calhoun,0.47%,0.46%,0.56%,0.51%,0.47%,0.39%,0.47%,0.59%
Callahan,1.04%,1.38%,1.24%,1.12%,1.75%,1.39%,1.81%,1.46%
Cameron,0.05%,0.08%,0.10%,0.54%,0.10%,0.12%,0.13%,0.13%
Camp,0.04%,0.04%,0.13%,0.08%,0.04%,0.00%,0.04%,0.04%
Carson,0.45%,0.48%,0.77%,0.95%,1.20%,1.26%,1.44%,1.94%
Cass,0.33%,0.32%,0.23%,0.32%,0.23%,0.57%,0.56%,0.74%
Castro,0.00%,0.00%,0.00%,0.22%,0.07%,0.00%,0.38%,0.44%
Chambers,0.25%,0.19%,0.48%,0.44%,0.57%,0.80%,1.07%,1.16%
Cherokee,0.31%,0.18%,0.26%,0.24%,0.30%,0.36%,0.39%,0.49%
Childress,0.09%,0.18%,0.09%,0.00%,0.09%,0.09%,0.18%,0.19%
Clay,0.34%,0.24%,0.38%,0.37%,0.42%,0.52%,0.33%,0.73%
Cochran,0.28%,0.44%,0.90%,0.38%,0.39%,0.29%,0.29%,0.30%
Coke,0.00%,0.00%,0.41%,1.24%,1.37%,0.79%,1.93%,2.72%
Coleman,0.22%,0.23%,0.00%,0.00%,0.16%,0.28%,1.16%,0.66%
Collin,1.06%,1.17%,1.39%,1.61%,1.74%,1.92%,2.08%,2.21%
Collingsworth,1.77%,2.05%,2.02%,2.31%,2.89%,1.16%,1.32%,1.99%
Colorado,0.30%,0.43%,0.30%,0.30%,0.34%,0.39%,0.06%,0.35%
Comal,0.87%,0.98%,1.09%,1.56%,1.40%,1.60%,1.77%,2.07%
Comanche,0.38%,0.40%,0.57%,1.28%,1.03%,0.73%,1.01%,0.93%
Concho,0.51%,0.00%,0.00%,0.00%,0.51%,0.00%,1.40%,0.66%
Cooke,0.52%,0.89%,0.78%,0.68%,0.82%,0.87%,1.04%,1.02%
Coryell,0.36%,0.36%,0.41%,1.21%,0.96%,0.74%,0.47%,1.01%
Cottle,0.00%,0.00%,0.00%,N/A**,0.00%,0.00%,0.00%,0.00%
Crane,0.10%,0.10%,0.09%,0.35%,0.52%,0.44%,0.29%,0.37%
Crockett,0.14%,0.42%,0.40%,0.65%,1.25%,0.52%,0.54%,0.42%
Crosby,0.56%,0.69%,0.70%,0.60%,1.07%,0.99%,0.72%,1.02%
Culberson,0.00%,0.00%,N/A**,0.00%,N/A**,0.00%,0.00%,0.51%
Dallam,0.48%,0.43%,0.21%,0.75%,0.68%,1.41%,1.13%,1.66%
Dallas,0.32%,0.35%,0.41%,0.45%,0.53%,0.60%,0.64%,0.74%
Dawson,0.24%,0.28%,0.28%,0.26%,0.63%,0.47%,0.64%,0.54%
Deaf Smith,0.02%,0.13%,0.09%,0.05%,0.07%,0.00%,0.13%,0.19%
Delta,0.39%,0.81%,0.97%,0.81%,1.06%,1.61%,1.68%,1.17%
Denton,1.16%,3.17%,3.50%,4.07%,2.07%,2.05%,2.92%,2.22%
DeWitt,0.07%,0.42%,0.29%,0.36%,0.30%,0.48%,0.52%,0.53%
Dickens,0.00%,0.00%,1.11%,0.26%,0.69%,0.52%,0.00%,0.00%
Dimmit,0.00%,0.00%,0.04%,0.04%,0.00%,0.00%,0.00%,0.00%
Donley,0.00%,0.18%,0.74%,0.75%,1.36%,0.52%,0.53%,1.48%
Duval,0.00%,0.00%,0.00%,0.05%,0.04%,0.04%,0.12%,0.08%
Eastland,1.23%,0.98%,1.34%,1.74%,1.66%,1.51%,2.12%,2.09%
Ector,0.23%,0.32%,0.37%,0.46%,0.47%,0.52%,0.64%,0.59%
Edwards,0.35%,0.35%,0.19%,0.19%,0.19%,0.00%,0.38%,0.35%
El Paso,0.34%,0.15%,0.14%,0.22%,0.21%,0.24%,0.23%,0.30%
