"County","Total Market Value","Total Actual Levy","Total County Tax Rate","Total Appraised Value (Total Taxable Value for FM/FC)","Total Appraised Value (Total Taxable Value for County Tax Purposes)"
"Anderson","$3,944,849,392","$15,327,435","$0.590892 ","$2,546,444,825","$2,594,146,958"
"Andrews","$4,724,857,970","$26,006,471","$0.600700 ","$3,577,927,928","$4,330,440,828"
"Angelina","$5,276,009,585","$18,209,527","$0.458800 ","$0","$3,968,946,532"
"Aransas","$3,486,448,827","$13,244,729","$0.403315 ","$3,111,123,054","$3,285,298,492"
"Archer","$1,892,220,682","$4,423,793","$0.675030 ","$624,923,732","$655,754,570"
"Armstrong","$816,595,680","$1,189,752","$0.662799 ","$189,415,520","$179,761,510"
"Atascosa","$4,814,880,380","$23,051,267","$0.619900 ","$3,563,565,002","$3,721,226,269"
"Austin","$5,825,189,375","$16,483,368","$0.547900 ","$2,782,294,704","$3,011,823,158"
"Bailey","$473,906,386","$3,209,868","$0.928600 ","$338,200,792","$346,202,738"
"Bandera","$3,935,176,093","$14,391,024","$0.676900 ","$2,081,177,634","$2,123,524,929"
"Bastrop","$8,576,264,941","$32,890,063","$0.589700 ","$0","$5,577,422,944"
"Baylor","$1,013,541,400","$1,371,081","$0.672810 ","$192,561,140","$204,161,060"
"Bee","$2,759,075,200","$10,856,388","$0.687510 ","$1,668,374,022","$1,579,158,850"
"Bell","$20,669,416,819","$79,278,906","$0.451100 ","$0","$17,574,574,581"
"Bexar","$165,252,672,291","$458,615,891","$0.304097 ","$144,278,716,899","$150,610,406,587"
"Blanco","$5,068,963,794","$5,837,680","$0.397000 ","$0","$1,470,448,305"
"Borden","$876,249,120","$2,899,112","$0.770000 ","$0","$376,508,010"
"Bosque","$2,962,221,445","$8,173,410","$0.522000 ","$0","$1,565,787,384"
"Bowie","$6,413,440,110","$21,128,045","$0.424322 ","$0","$4,979,248,168"
"Brazoria","$41,000,984,653","$123,516,596","$0.440234 ","$26,066,465,990","$28,074,383,647"
"Brazos","$19,951,923,410","$85,141,657","$0.485000 ","$0","$17,554,980,822"
"Brewster","$1,191,402,216","$3,303,861","$0.386400 ","$0","$855,036,523"
"Briscoe","$611,452,520","$1,108,537","$0.570000 ","$0","$194,480,198"
"Brooks","$1,317,586,381","$5,055,393","$0.940505 ","$481,407,625","$537,691,245"
"Brown","$3,867,229,566","$16,410,990","$0.623700 ","$2,557,558,905","$2,633,251,598"
"Burleson","$3,020,850,392","$8,421,869","$0.550000 ","$0","$1,531,248,945"
"Burnet","$8,031,846,921","$22,582,045","$0.396900 ","$0","$5,693,141,132"
"Caldwell","$3,257,897,671","$16,739,964","$0.775300 ","$1,956,811,581","$2,159,161,139"
"Calhoun","$4,153,537,342","$16,341,547","$0.490000 ","$0","$3,335,009,686"
"Callahan","$1,789,882,822","$4,204,320","$0.559266 ","$0","$753,477,771"
"Cameron","$19,305,871,195","$72,925,054","$0.410803 ","$0","$17,751,831,025"
"Camp","$1,073,853,363","$3,696,887","$0.468900 ","$0","$788,417,022"
"Carson","$2,148,574,950","$4,333,411","$0.632483 ","$736,560,240","$685,564,760"
"Cass","$2,815,488,358","$10,201,246","$0.587680 ","$1,680,569,417","$1,737,136,202"
"Castro","$1,826,771,510","$2,756,913","$0.597000 ","$477,970,530","$462,254,670"
"Chambers","$14,646,874,482","$69,421,627","$0.542548 ","$7,968,447,852","$12,800,352,132"
"Cherokee","$3,642,706,167","$15,074,070","$0.579274 ","$2,460,977,766","$2,607,151,920"
"Childress","$772,574,181","$2,849,916","$0.590000 ","$0","$483,036,455"
"Clay","$2,206,868,350","$5,191,680","$0.725000 ","$0","$716,093,772"
"Cochran","$455,927,948","$3,640,898","$1.100000 ","$306,125,283","$331,538,262"
"Coke","$955,014,500","$1,699,440","$0.675409 ","$253,992,614","$252,242,222"
"Coleman","$1,757,256,496","$4,159,947","$0.924800 ","$425,485,674","$451,761,172"
"Collin","$140,596,120,455","$238,875,626","$0.192646 ","$0","$123,997,189,560"
"Collingsworth","$706,698,760","$1,811,418","$0.948040 ","$185,986,050","$191,410,850"
"Colorado","$5,100,087,216","$11,487,697","$0.510000 ","$0","$2,252,489,594"
"Comal","$21,205,870,986","$57,668,488","$0.357921 ","$14,603,341,561","$16,121,061,902"
"Comanche","$2,477,428,402","$5,626,767","$0.700289 ","$747,657,241","$806,684,891"
"Concho","$981,148,713","$2,445,927","$0.934800 ","$232,431,773","$261,994,571"
"Cooke","$5,660,850,812","$17,669,307","$0.493800 ","$3,344,045,344","$3,578,234,650"
"Coryell","$4,113,738,342","$12,790,282","$0.493660 ","$0","$2,590,909,041"
"Cottle","$534,747,660","$1,273,001","$0.778700 ","$152,124,401","$163,600,680"
"Crane","$1,002,256,620","$7,080,183","$0.780000 ","$910,622,320","$907,860,850"
"Crockett","$1,589,328,660","$13,231,021","$0.952310 ","$1,387,323,820","$1,389,756,730"
"Crosby","$927,897,176","$2,320,249","$0.630000 ","$0","$368,721,980"
"Culberson","$1,563,448,800","$3,242,808","$0.233880 ","$820,038,180","$1,386,576,050"
"Dallam","$1,651,671,636","$2,933,171","$0.355000 ","$0","$826,245,459"
"Dallas","$266,283,725,220","$545,301,175","$0.243100 ","$0","$224,311,466,336"
"Dawson","$1,273,657,800","$6,724,275","$0.890895 ","$726,152,690","$756,189,000"
"Deaf Smith","$2,300,095,075","$7,358,900","$0.530000 ","$0","$1,388,471,666"
"Delta","$512,536,437","$1,921,654","$0.725638 ","$0","$264,822,632"
"Denton","$98,759,686,224","$209,971,535","$0.237812 ","$0","$88,293,078,029"
"DeWitt","$5,873,149,670","$19,595,359","$0.469370 ","$4,893,214,720","$4,178,271,250"
"Dickens","$702,252,300","$2,133,058","$0.850000 ","$0","$250,948,055"
"Dimmit","$6,416,205,391","$20,222,540","$0.380000 ","$0","$5,321,721,124"
"Donley","$843,346,027","$1,649,344","$0.699410 ","$233,908,651","$236,319,699"
"Duval","$2,543,969,034","$7,663,605","$1.100000 ","$700,805,879","$695,489,191"
"Eastland","$2,619,775,540","$7,326,419","$0.530000 ","$0","$1,382,343,141"
"Ector","$14,620,998,996","$50,286,686","$0.387210 ","$0","$12,986,928,428"
"Edwards","$1,729,880,262","$2,858,197","$0.686300 ","$403,845,035","$416,779,502"
"El Paso","$44,956,797,581","$182,444,921","$0.452694 ","$0","$40,302,040,842"
"Ellis","$16,291,962,344","$50,506,901","$0.359713 ","$12,868,293,352","$14,040,888,510"
"Erath","$5,131,521,950","$14,147,150","$0.470000 ","$0","$3,010,031,745"
"Falls","$1,457,872,514","$6,511,010","$0.972180 ","$0","$669,732,991"
"Fannin","$3,217,555,945","$10,819,157","$0.589000 ","$0","$1,836,868,819"
"Fayette","$6,343,723,842","$12,561,731","$0.446400 ","$2,729,802,177","$2,817,800,112"
"Fisher","$1,047,695,280","$3,283,294","$0.856070 ","$0","$383,531,020"
"Floyd","$1,675,591,658","$4,271,872","$0.725000 ","$0","$589,223,745"
"Foard","$616,492,230","$2,057,916","$0.925000 ","$0","$222,477,390"
"Fort Bend","$81,585,882,575","$291,636,537","$0.453000 ","$0","$64,378,926,402"
"Franklin","$1,537,760,200","$6,013,010","$0.539355 ","$1,089,257,350","$1,115,871,972"
"Freestone","$3,608,448,041","$5,971,774","$0.255000 ","$0","$2,341,872,059"
"Frio","$2,945,326,140","$9,517,084","$0.596800 ","$1,705,684,678","$1,595,008,910"
"Gaines","$3,757,045,875","$19,181,088","$0.593967 ","$2,919,476,096","$3,228,532,390"
"Galveston","$34,247,890,766","$152,614,532","$0.551900 ","$25,901,474,135","$27,654,799,552"
"Garza","$860,792,942","$2,943,193","$0.594600 ","$0","$494,986,994"
"Gillespie","$8,246,251,790","$17,027,856","$0.399900 ","$0","$4,258,028,627"
"Glasscock","$2,963,836,504","$10,533,448","$0.400000 ","$0","$2,633,362,021"
"Goliad","$2,723,956,908","$6,695,280","$0.800000 ","$0","$836,909,986"
"Gonzales","$5,666,819,180","$13,601,827","$0.478500 ","$0","$2,842,597,040"
"Gray","$2,296,376,180","$9,446,847","$0.640720 ","$1,476,143,900","$1,475,371,650"
