"County","Per Capita Income","Total Personal Income","Median Household Income","Average Annual Pay","% of Population in Poverty","% of Population Under 18 in Poverty"
"Anderson","$33,362","$1,926,333,000","$42,412","$42,343","18.8","23.4"
"Andrews","$43,105","$763,902,000","$63,451","$61,430","13","17.5"
"Angelina","$37,555","$3,297,553,000","$45,318","$39,251","20","25.4"
"Aransas","$44,820","$1,146,138,000","$46,970","$37,102","18.1","32.2"
"Archer","$47,110","$414,992,000","$58,311","$36,275","10.1","13.8"
"Armstrong","$45,262","$85,048,000","$55,337","$35,461","10.6","15.1"
"Atascosa","$34,372","$1,683,594,000","$48,636","$46,645","16.9","25.4"
"Austin","$49,262","$1,467,332,000","$61,111","$46,213","10.7","16.4"
"Bailey","$44,659","$316,051,000","$42,045","$37,913","17.2","26.3"
"Bandera","$42,330","$946,129,000","$55,578","$35,858","11.9","22.6"
"Bastrop","$34,969","$2,964,012,000","$62,992","$37,443","11.5","18.7"
"Baylor","$39,650","$141,987,000","$37,013","$35,235","17.7","27.6"
"Bee","$27,078","$881,725,000","$41,392","$36,580","26.6","33.7"
"Bell","$42,024","$14,617,434,000","$52,164","$45,986","13.8","20.5"
"Bexar","$43,798","$85,782,196,000","$54,163","$49,164","15.6","22.2"
"Blanco","$48,978","$569,421,000","$62,115","$47,098","10.6","17.1"
"Borden","$51,776","$34,845,000","$59,039","$37,172","11","15.8"
"Bosque","$40,704","$745,938,000","$49,139","$36,725","16","26.2"
"Bowie","$38,807","$3,648,286,000","$49,153","$39,887","15.9","23"
"Brazoria","$45,925","$16,645,867,000","$80,840","$56,623","9","11.9"
"Brazos","$37,352","$8,323,157,000","$46,083","$40,430","23.9","20.5"
"Brewster","$44,418","$414,727,000","$44,617","$38,556","14","20.7"
"Briscoe","$34,165","$52,204,000","$42,678","$31,284","15.3","26"
"Brooks","$33,466","$242,124,000","$28,106","$40,994","35","52.5"
"Brown","$37,041","$1,409,521,000","$41,538","$36,800","16.8","24.8"
"Burleson","$40,482","$729,124,000","$47,409","$42,710","16.6","25.4"
"Burnet","$45,350","$2,122,566,000","$59,009","$41,749","10.4","17.7"
"Caldwell","$32,889","$1,392,457,000","$51,895","$37,448","14.5","21.3"
"Calhoun","$36,587","$795,537,000","$55,240","$64,164","16.3","24.2"
"Callahan","$38,029","$530,353,000","$45,843","$38,217","14","23.3"
"Cameron","$27,741","$11,754,457,000","$36,624","$32,413","27.7","38.4"
"Camp","$38,491","$494,801,000","$41,932","$37,584","20.3","31.3"
"Carson","$44,364","$267,604,000","$60,668","$78,762","8.5","11.3"
"Cass","$35,996","$1,080,323,000","$40,104","$37,357","19","29.5"
"Castro","$50,209","$393,790,000","$41,746","$36,369","17.2","25.1"
"Chambers","$51,832","$2,147,981,000","$81,018","$61,432","9.5","12.9"
"Cherokee","$34,257","$1,789,572,000","$47,147","$34,922","17.2","25.2"
"Childress","$29,965","$211,760,000","$40,925","$36,999","20.3","26.7"
"Clay","$42,522","$443,125,000","$53,438","$35,841","11.8","17.3"
"Cochran","$40,614","$115,791,000","$40,796","$39,341","24.8","38.3"
"Coke","$38,586","$127,566,000","$42,314","$34,529","13.3","21.2"
"Coleman","$38,788","$326,982,000","$35,596","$30,880","25.2","41.2"
"Collin","$64,025","$62,078,378,000","$95,394","$64,186","5.9","6.2"
"Collingsworth","$38,186","$114,063,000","$39,809","$39,701","18","28.1"
"Colorado","$44,836","$951,966,000","$49,100","$46,161","14.9","23"
"Comal","$55,965","$7,891,500,000","$72,562","$42,237","8.9","13.1"
"Comanche","$39,842","$540,776,000","$46,161","$33,301","15","25.1"
"Concho","$32,328","$87,836,000","$42,723","$40,797","15.4","28.2"
"Cooke","$47,339","$1,888,597,000","$57,382","$44,227","13","20.6"
"Coryell","$32,904","$2,464,970,000","$51,486","$41,428","13.6","19"
"Cottle","$60,247","$83,562,000","$36,201","$39,007","21.2","39.4"
"Crane","$39,596","$187,685,000","$56,356","$54,793","11.7","16.4"
"Crockett","$36,757","$131,002,000","$44,991","$40,021","16.8","26.3"
"Crosby","$34,530","$203,691,000","$36,942","$37,010","22.3","37.8"
"Culberson","$47,127","$105,141,000","$37,825","$49,354","22.1","35.6"
"Dallam","$54,562","$393,283,000","$47,838","$41,677","11.5","16.3"
"Dallas","$55,859","$146,247,979,000","$56,732","$66,565","14.8","22.1"
"Dawson","$36,857","$472,243,000","$42,127","$38,305","21.7","30.7"
"Deaf Smith","$41,634","$784,210,000","$42,698","$40,789","17.7","26.7"
"Delta","$34,737","$184,039,000","$41,644","$22,684","17.5","27.7"
"Denton","$53,948","$45,112,022,000","$86,462","$50,135","7.1","7.8"
"DeWitt","$51,896","$1,049,645,000","$47,657","$45,165","18.8","27.4"
"Dickens","$32,006","$70,702,000","$38,702","$33,061","21.2","28.8"
"Dimmit","$32,067","$334,069,000","$35,696","$51,499","31.2","42.6"
"Donley","$44,176","$146,266,000","$41,867","$29,974","19.9","32.8"
"Duval","$34,579","$389,812,000","$33,495","$36,867","28.6","40.1"
"Eastland","$56,294","$1,036,438,000","$39,620","$45,186","16.8","29"
"Ector","$40,851","$6,417,181,000","$54,422","$56,250","13.5","17.9"
"Edwards","$34,266","$66,921,000","$35,164","$32,250","22.6","38.2"
"El Paso","$34,582","$29,062,655,000","$44,120","$37,852","21","29.6"
"Ellis","$42,490","$7,377,130,000","$71,512","$43,167","8.5","12.4"
"Erath","$37,624","$1,579,045,000","$48,230","$34,533","15.8","19.3"
"Falls","$32,392","$564,823,000","$35,988","$35,687","27.6","32.9"
"Fannin","$36,826","$1,268,496,000","$50,598","$40,465","12.9","18"
"Fayette","$48,833","$1,234,101,000","$56,320","$38,962","10.8","16.7"
"Fisher","$36,259","$140,685,000","$47,292","$39,903","14.7","21"
