"County","County Population"," Population Density Per Sq Mile","County Seat","County Seat Population"
"Anderson","57,741","55.01","Palestine"," 18,712 "
"Andrews","17,722","9.85","Andrews"," 11,088 "
"Angelina","87,805","108.77","Lufkin"," 35,067 "
"Aransas","25,572","91.87","Rockport"," 8,766 "
"Archer","8,809","10.03","Archer City"," 1,834 "
"Armstrong","1,879","2.09","Claude"," 1,196 "
"Atascosa","48,981","36.83","Jourdanton"," 3,871 "
"Austin","29,786","43.95","Bellville"," 4,097 "
"Bailey","7,077","8.67","Muleshoe"," 5,158 "
"Bandera","22,351","25.90","Bandera"," 857 "
"Bastrop","84,761","83.51","Bastrop"," 7,218 "
"Baylor","3,581","4.30","Seymour"," 2,740 "
"Bee","32,563","36.20","Beeville"," 12,863 "
"Bell","347,833","295.18","Belton"," 18,216 "
"Bexar","1,958,578","1,383.08","San Antonio"," 1,327,407 "
"Blanco","11,626","14.80","Johnson City"," 1,656 "
"Borden","673","0.71","Gail"," 231 "
"Bosque","18,326","18.53","Meridian"," 1,493 "
"Bowie","94,012","104.59","New Boston"," 4,550 "
"Brazoria","362,457","230.66","Angleton"," 18,862 "
"Brazos","222,830","332.83","Bryan"," 76,201 "
"Brewster","9,337","1.49","Alpine"," 5,905 "
"Briscoe","1,528","1.82","Silverton"," 731 "
"Brooks","7,235","7.66","Falfurrias"," 4,981 "
"Brown","38,053","40.35","Brownwood"," 19,288 "
"Burleson","18,011","26.08","Caldwell"," 4,104 "
"Burnet","46,804","43.00","Burnet"," 5,987 "
"Caldwell","42,338","69.81","Lockhart"," 12,698 "
"Calhoun","21,744","42.18","Port Lavaca"," 12,248 "
"Callahan","13,946","15.06","Baird"," 1,496 "
"Cameron","423,725","455.95","Brownsville"," 175,023 "
"Camp","12,855","63.33","Pittsburg"," 4,497 "
"Carson","6,032","6.72","Panhandle"," 2,452 "
"Cass","30,012","32.51","Linden"," 1,988 "
"Castro","7,843","9.01","Dimmitt"," 4,393 "
"Chambers","41,441","58.77","Anahuac"," 2,243 "
"Cherokee","52,240","48.29","Rusk"," 5,551 "
"Childress","7,067","10.11","Childress"," 6,105 "
"Clay","10,421","9.88","Henrietta"," 3,141 "
"Cochran","2,851","4.03","Morton"," 2,006 "
"Coke","3,306","3.64","Robert Lee"," 1,049 "
"Coleman","8,430","7.05","Coleman"," 4,709 "
"Collin","969,603","930.00","McKinney"," 131,117 "
"Collingsworth","2,987","3.33","Wellington"," 2,189 "
"Colorado","21,232","21.74","Columbus"," 3,655 "
"Comal","141,009","193.88","New Braunfels"," 57,740 "
"Comanche","13,573","14.90","Comanche"," 4,335 "
"Concho","2,717","4.15","Paint Rock"," 273 "
"Cooke","39,895","43.94","Gainesville"," 16,002 "
"Coryell","74,913","71.66","Gatesville"," 15,751 "
"Cottle","1,387","1.67","Paducah"," 1,186 "
"Crane","4,740","5.57","Crane"," 3,353 "
"Crockett","3,564","1.32","Ozona"," 3,225 "
"Crosby","5,899","6.73","Crosbyton"," 1,741 "
"Culberson","2,231","0.63","Van Horn"," 2,063 "
"Dallam","7,208","4.46","Dalhart"," 7,930 "
"Dallas","2,618,148","2,718.00","Dallas"," 1,197,816 "
"Dawson","12,813","15.36","Lamesa"," 9,422 "
"Deaf Smith","18,836","12.94","Hereford"," 15,370 "
"Delta","5,298","20.37","Cooper"," 1,969 "
"Denton","836,210","754.31","Denton"," 113,383 "
"DeWitt","20,226","22.11","Cuero"," 6,841 "
"Dickens","2,209","2.71","Dickens"," 286 "
