"County","General Fund M&O Tax Rate","General Fund I&S Tax Rate","Special Road & Bridge Fund M&O Tax Rate","Special Road & Bridge Fund I&S Tax Rate","Farm-to-Market/Flood Control Fund M&O Tax Rate","Farm-to-Market/Flood Control I&S Tax Rate"
"Anderson","$0.508570 ","$0.058972 ","$0.000000 ","$0.000000 ","$0.023350","$0.000000 "
"Andrews","$0.438400 ","$0.000000 ","$0.077300 ","$0.000000 ","$0.085000","$0.000000 "
"Angelina","$0.369130 ","$0.020480 ","$0.069190 ","$0.000000 ","$0.000000","$0.000000 "
"Aransas","$0.281598 ","$0.052278 ","$0.000000 ","$0.000000 ","$0.055222","$0.014217 "
"Archer","$0.457730 ","$0.071500 ","$0.046380 ","$0.038110 ","$0.061310","$0.000000 "
"Armstrong","$0.444128 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.218671","$0.000000 "
"Atascosa","$0.495400 ","$0.022900 ","$0.000000 ","$0.000000 ","$0.101600","$0.000000 "
"Austin","$0.384300 ","$0.015300 ","$0.067200 ","$0.000000 ","$0.081100","$0.000000 "
"Bailey","$0.707300 ","$0.091100 ","$0.000000 ","$0.000000 ","$0.130200","$0.000000 "
"Bandera","$0.523800 ","$0.044500 ","$0.021600 ","$0.000000 ","$0.087000","$0.000000 "
"Bastrop","$0.405700 ","$0.075900 ","$0.108100 ","$0.000000 ","$0.000000","$0.000000 "
"Baylor","$0.589000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.083810","$0.000000 "
"Bee","$0.470650 ","$0.150430 ","$0.061010 ","$0.000000 ","$0.005420","$0.000000 "
"Bell","$0.337600 ","$0.083600 ","$0.029900 ","$0.000000 ","$0.000000","$0.000000 "
"Bexar","$0.236250 ","$0.054979 ","$0.000000 ","$0.000000 ","$0.001000","$0.011868 "
"Blanco","$0.345100 ","$0.051900 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Borden","$0.730000 ","$0.040000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Bosque","$0.475000 ","$0.047000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Bowie","$0.350694 ","$0.073628 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Brazoria","$0.295097 ","$0.035137 ","$0.050000 ","$0.000000 ","$0.060000","$0.000000 "
"Brazos","$0.429000 ","$0.056000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Brewster","$0.354155 ","$0.032245 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Briscoe","$0.570000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Brooks","$0.600404 ","$0.120481 ","$0.134620 ","$0.000000 ","$0.085000","$0.000000 "
"Brown","$0.464300 ","$0.073400 ","$0.000000 ","$0.000000 ","$0.086000","$0.000000 "
"Burleson","$0.455310 ","$0.019690 ","$0.075000 ","$0.000000 ","$0.000000","$0.000000 "
"Burnet","$0.314900 ","$0.040200 ","$0.000000 ","$0.000000 ","$0.041800","$0.000000 "
"Caldwell","$0.707200 ","$0.068000 ","$0.000000 ","$0.000000 ","$0.000100","$0.000000 "
"Calhoun","$0.453700 ","$0.036300 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Callahan","$0.383452 ","$0.016642 ","$0.000000 ","$0.000000 ","$0.159172","$0.000000 "
"Cameron","$0.313810 ","$0.052974 ","$0.044019 ","$0.000000 ","$0.000000","$0.000000 "
"Camp","$0.284200 ","$0.000000 ","$0.184700 ","$0.000000 ","$0.000000","$0.000000 "
"Carson","$0.420211 ","$0.078193 ","$0.081042 ","$0.000000 ","$0.053037","$0.000000 "
"Cass","$0.479642 ","$0.038351 ","$0.000000 ","$0.000000 ","$0.069687","$0.000000 "
"Castro","$0.478000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.119000","$0.000000 "
"Chambers","$0.355362 ","$0.055626 ","$0.006791 ","$0.000000 ","$0.081716","$0.043053 "
"Cherokee","$0.408985 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.170289","$0.000000 "
"Childress","$0.412150 ","$0.177700 ","$0.000150 ","$0.000000 ","$0.000000","$0.000000 "
"Clay","$0.725000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Cochran","$0.800000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.300000","$0.000000 "
"Coke","$0.525150 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.150259","$0.000000 "
"Coleman","$0.547900 ","$0.135800 ","$0.000000 ","$0.000000 ","$0.241100","$0.000000 "
"Collin","$0.138796 ","$0.053450 ","$0.000400 ","$0.000000 ","$0.000000","$0.000000 "
"Collingsworth","$0.736350 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.211690","$0.000000 "
"Colorado","$0.480790 ","$0.029210 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Comal","$0.242071 ","$0.065750 ","$0.000000 ","$0.000000 ","$0.050100","$0.000000 "
"Comanche","$0.491409 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.208880","$0.000000 "
"Concho","$0.720000 ","$0.048000 ","$0.000000 ","$0.000000 ","$0.166800","$0.000000 "
"Cooke","$0.360100 ","$0.018600 ","$0.115000 ","$0.000000 ","$0.000100","$0.000000 "
"Coryell","$0.476080 ","$0.017580 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Cottle","$0.647700 ","$0.000000 ","$0.049600 ","$0.000000 ","$0.081400","$0.000000 "
"Crane","$0.724831 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.055169","$0.000000 "
"Crockett","$0.614890 ","$0.185110 ","$0.000000 ","$0.000000 ","$0.152310","$0.000000 "
"Crosby","$0.553500 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.076500","$0.000000 "
"Culberson","$0.202490 ","$0.000000 ","$0.015670 ","$0.000000 ","$0.015720","$0.000000 "
"Dallam","$0.355000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Dallas","$0.226000 ","$0.017100 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Dawson","$0.727943 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.162952","$0.000000 "
"Deaf Smith","$0.530000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Delta","$0.576857 ","$0.000000 ","$0.148781 ","$0.000000 ","$0.000000","$0.000000 "
"Denton","$0.173786 ","$0.064026 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"DeWitt","$0.315450 ","$0.000000 ","$0.035450 ","$0.000000 ","$0.118470","$0.000000 "
"Dickens","$0.700000 ","$0.000000 ","$0.150000 ","$0.000000 ","$0.000000","$0.000000 "
"Dimmit","$0.162500 ","$0.217500 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Donley","$0.493355 ","$0.064965 ","$0.000000 ","$0.000000 ","$0.141090","$0.000000 "
"Duval","$0.790000 ","$0.000000 ","$0.150000 ","$0.000000 ","$0.150000","$0.010000 "
"Eastland","$0.530000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Ector","$0.356973 ","$0.030237 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Edwards","$0.536800 ","$0.021000 ","$0.000000 ","$0.000000 ","$0.128500","$0.000000 "
"El Paso","$0.404746 ","$0.047948 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Ellis","$0.330730 ","$0.028983 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Erath","$0.324800 ","$0.020200 ","$0.125000 ","$0.000000 ","$0.000000","$0.000000 "
"Falls","$0.786000 ","$0.039180 ","$0.147000 ","$0.000000 ","$0.000000","$0.000000 "
"Fannin","$0.565000 ","$0.024000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Fayette","$0.281200 ","$0.010100 ","$0.000000 ","$0.000000 ","$0.155100","$0.000000 "
"Fisher","$0.708758 ","$0.119402 ","$0.027910 ","$0.000000 ","$0.000000","$0.000000 "
"Floyd","$0.725000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Foard","$0.775000 ","$0.000000 ","$0.150000 ","$0.000000 ","$0.000000","$0.000000 "
"Fort Bend","$0.387000 ","$0.066000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Franklin","$0.366242 ","$0.005340 ","$0.023260 ","$0.000000 ","$0.144513","$0.000000 "
"Freestone","$0.255000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Frio","$0.519800 ","$0.026900 ","$0.000000 ","$0.000000 ","$0.050100","$0.000000 "
"Gaines","$0.414019 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.179948","$0.000000 "
"Galveston","$0.459075 ","$0.087072 ","$0.000000 ","$0.000000 ","$0.005753","$0.000000 "
"Garza","$0.594600 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Gillespie","$0.368100 ","$0.031800 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Glasscock","$0.400000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Goliad","$0.800000 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Gonzales","$0.469200 ","$0.009300 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Gray","$0.566040 ","$0.003460 ","$0.000000 ","$0.000000 ","$0.071220","$0.000000 "
"Grayson","$0.414270 ","$0.000000 ","$0.046096 ","$0.000000 ","$0.000000","$0.000000 "
"Gregg","$0.257200 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.005300","$0.000000 "
"Grimes","$0.530261 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
"Guadalupe","$0.309400 ","$0.017500 ","$0.000000 ","$0.000000 ","$0.053000","$0.000000 "
"Hale","$0.569349 ","$0.025600 ","$0.000251 ","$0.000000 ","$0.000300","$0.000000 "
"Hall","$0.709400 ","$0.000000 ","$0.000000 ","$0.000000 ","$0.000000","$0.000000 "
